"Account_Length";"Phone_Number";"Inter_Plan";"Total_Day_Min";"Total_Day_calls";"Total_Evening_Min";"Total_Evening_Calls";"Total_Night_Minutes";"Total_Night_Calls";"Total_Int_Min";"Total_Int_Calls";"No_of_Calls_Customer_Service";"Churn";"N_of_Vmail_Mesgs_VMail_Plan";"Total_Charge"
12.0;"360-1596";"no";249.6;118.0;252.4;119.0;280.2;90.0;11.8;3.0;1.0;"TRUE";-1.0;79.67999999999999
57.0;"395-2854";"no";176.8;94.0;195.0;75.0;213.5;116.0;8.3;4.0;0.0;"FALSE";25.0;58.49
72.0;"362-1407";"no";220.0;80.0;217.3;102.0;152.8;71.0;14.7;6.0;3.0;"FALSE";37.0;66.72
36.0;"341-9764";"no";146.3;128.0;162.5;80.0;129.3;109.0;14.5;6.0;0.0;"FALSE";30.0;48.42
78.0;"353-3305";"no";130.8;64.0;223.7;116.0;227.8;108.0;10.0;5.0;1.0;"FALSE";-1.0;54.2
136.0;"402-1381";"yes";203.9;106.0;187.6;99.0;101.7;107.0;10.5;6.0;3.0;"FALSE";33.0;58.03
149.0;"332-9891";"no";140.4;94.0;271.8;92.0;188.3;108.0;11.1;9.0;1.0;"FALSE";-1.0;58.44
98.0;"372-9976";"no";126.3;102.0;166.8;85.0;187.8;135.0;9.4;2.0;3.0;"FALSE";-1.0;46.64
135.0;"383-6029";"yes";173.1;85.0;203.9;107.0;122.2;78.0;14.6;15.0;0.0;"TRUE";41.0;56.199999999999996
34.0;"353-7289";"no";124.8;82.0;282.2;98.0;311.5;78.0;10.0;4.0;2.0;"FALSE";-1.0;61.92999999999999
160.0;"390-7274";"no";85.8;77.0;165.3;110.0;178.5;92.0;9.2;4.0;3.0;"FALSE";-1.0;39.15
64.0;"352-1237";"no";154.0;67.0;225.8;118.0;265.3;86.0;3.5;3.0;1.0;"FALSE";-1.0;58.260000000000005
59.0;"353-3061";"no";120.9;97.0;213.0;92.0;163.1;116.0;8.5;5.0;2.0;"FALSE";28.0;48.3
65.0;"363-5450";"no";211.3;120.0;162.6;122.0;134.7;118.0;13.2;5.0;3.0;"FALSE";-1.0;59.36000000000001
142.0;"364-1995";"no";187.0;133.0;134.6;74.0;242.2;127.0;7.4;5.0;2.0;"FALSE";-1.0;56.129999999999995
119.0;"398-1294";"no";159.1;114.0;231.3;117.0;143.2;91.0;8.8;3.0;5.0;"TRUE";-1.0;55.53
97.0;"405-7146";"no";133.2;135.0;217.2;58.0;70.6;79.0;11.0;3.0;1.0;"FALSE";24.0;47.25
52.0;"413-4957";"no";191.9;108.0;269.8;96.0;236.8;87.0;7.8;5.0;3.0;"FALSE";-1.0;68.32
60.0;"420-5645";"no";220.6;57.0;211.1;115.0;249.0;129.0;6.8;3.0;1.0;"FALSE";-1.0;68.49000000000001
10.0;"349-4396";"no";186.1;112.0;190.2;66.0;282.8;57.0;11.4;6.0;2.0;"FALSE";-1.0;63.620000000000005
96.0;"404-3211";"no";160.2;117.0;267.5;67.0;228.5;68.0;9.3;5.0;2.0;"FALSE";-1.0;62.76
87.0;"353-3759";"no";151.0;83.0;219.7;116.0;203.9;127.0;9.7;3.0;5.0;"TRUE";-1.0;56.14
81.0;"363-5947";"no";175.5;67.0;249.3;85.0;270.2;98.0;10.2;3.0;1.0;"FALSE";-1.0;65.94
141.0;"340-5121";"no";126.9;98.0;180.0;62.0;140.8;128.0;8.0;2.0;1.0;"FALSE";-1.0;45.370000000000005
121.0;"370-7574";"no";198.4;129.0;75.3;77.0;181.2;77.0;5.8;3.0;3.0;"TRUE";30.0;49.849999999999994
68.0;"403-9733";"no";148.8;70.0;246.5;164.0;129.8;103.0;12.1;3.0;3.0;"FALSE";-1.0;55.36
125.0;"355-7251";"no";229.3;103.0;177.4;126.0;189.3;95.0;12.0;8.0;1.0;"FALSE";-1.0;65.82
174.0;"359-5893";"no";192.1;97.0;169.9;94.0;166.6;54.0;11.4;4.0;1.0;"FALSE";-1.0;57.67999999999999
116.0;"405-3371";"no";268.6;83.0;178.2;142.0;166.3;106.0;11.6;3.0;2.0;"FALSE";34.0;71.42
74.0;"344-5117";"no";193.7;91.0;246.1;96.0;138.0;92.0;14.6;3.0;2.0;"FALSE";33.0;64.0
149.0;"332-8160";"no";180.7;92.0;187.8;64.0;265.5;53.0;12.6;3.0;3.0;"FALSE";28.0;62.03
38.0;"359-4081";"no";131.2;98.0;162.9;97.0;159.0;106.0;8.2;6.0;2.0;"FALSE";-1.0;45.51
40.0;"352-8305";"no";148.1;74.0;169.5;88.0;214.1;102.0;6.2;5.0;2.0;"FALSE";41.0;50.89000000000001
43.0;"329-9847";"yes";251.5;105.0;212.8;104.0;157.8;67.0;9.3;4.0;0.0;"FALSE";-1.0;70.46
113.0;"365-9011";"yes";125.2;93.0;206.4;119.0;129.3;139.0;8.3;8.0;0.0;"FALSE";-1.0;46.88
126.0;"338-9472";"no";211.6;70.0;216.9;80.0;153.5;60.0;7.8;1.0;1.0;"FALSE";-1.0;63.42999999999999
150.0;"374-8042";"no";178.9;101.0;169.1;110.0;148.6;100.0;13.8;3.0;4.0;"TRUE";-1.0;55.199999999999996
138.0;"359-1231";"no";241.8;93.0;170.5;83.0;295.3;104.0;11.8;7.0;3.0;"FALSE";-1.0;72.08
162.0;"413-7170";"no";224.9;97.0;188.2;84.0;254.6;61.0;12.1;2.0;0.0;"FALSE";46.0;68.96000000000001
147.0;"415-2935";"no";248.6;83.0;148.9;85.0;172.5;109.0;8.0;4.0;3.0;"FALSE";-1.0;64.84
90.0;"399-4246";"no";203.4;146.0;226.7;117.0;152.4;105.0;7.3;4.0;1.0;"FALSE";-1.0;62.67999999999999
85.0;"362-5889";"no";235.8;109.0;157.2;94.0;188.2;99.0;12.0;3.0;0.0;"FALSE";-1.0;65.16000000000001
50.0;"350-8921";"no";157.1;90.0;223.3;72.0;181.4;111.0;6.1;2.0;1.0;"FALSE";-1.0;55.5
82.0;"374-5353";"no";300.3;109.0;181.0;100.0;270.1;73.0;11.7;4.0;0.0;"TRUE";-1.0;81.75
144.0;"360-1171";"no";61.6;117.0;77.1;85.0;173.0;99.0;8.2;7.0;4.0;"TRUE";-1.0;27.02
46.0;"355-8887";"no";214.1;72.0;164.4;104.0;177.5;113.0;8.2;3.0;2.0;"FALSE";-1.0;60.57
70.0;"333-1967";"no";170.2;98.0;155.2;102.0;228.6;76.0;15.0;2.0;1.0;"FALSE";-1.0;56.459999999999994
144.0;"354-4577";"no";201.1;99.0;303.5;74.0;224.0;119.0;13.2;2.0;1.0;"FALSE";-1.0;73.63
116.0;"331-7425";"yes";215.4;104.0;204.8;79.0;278.5;109.0;12.6;5.0;3.0;"FALSE";-1.0;69.96
55.0;"419-2637";"no";165.6;123.0;136.1;95.0;175.7;90.0;11.0;2.0;3.0;"FALSE";25.0;50.599999999999994
70.0;"411-1530";"no";249.5;101.0;259.7;98.0;222.7;68.0;9.8;4.0;1.0;"FALSE";24.0;77.16000000000001
106.0;"395-3026";"no";210.6;96.0;249.2;85.0;191.4;88.0;12.4;1.0;2.0;"TRUE";-1.0;68.94
128.0;"388-6441";"no";179.3;104.0;225.9;86.0;323.0;78.0;8.6;7.0;0.0;"FALSE";29.0;66.53999999999999
94.0;"402-1251";"no";157.9;105.0;155.0;101.0;189.6;84.0;8.0;5.0;4.0;"TRUE";-1.0;50.709999999999994
111.0;"412-9997";"no";214.3;118.0;208.5;76.0;182.4;98.0;12.0;2.0;1.0;"FALSE";-1.0;65.6
74.0;"346-7302";"no";154.1;104.0;123.4;84.0;202.1;57.0;10.9;9.0;2.0;"FALSE";35.0;48.72
128.0;"358-9095";"no";237.9;125.0;247.6;93.0;208.9;68.0;13.9;4.0;1.0;"TRUE";-1.0;74.64
82.0;"400-9770";"no";143.9;61.0;194.9;105.0;109.6;94.0;11.1;2.0;1.0;"FALSE";-1.0;48.96
155.0;"334-1275";"no";203.4;100.0;190.9;104.0;196.0;119.0;8.9;4.0;0.0;"TRUE";-1.0;62.03
80.0;"340-4953";"no";124.3;100.0;173.0;107.0;253.2;62.0;7.9;9.0;1.0;"FALSE";-1.0;49.36000000000001
78.0;"400-9510";"no";252.9;93.0;178.4;112.0;263.9;105.0;9.5;7.0;3.0;"FALSE";-1.0;72.60000000000001
90.0;"387-6103";"no";179.1;71.0;190.6;81.0;127.7;91.0;10.6;7.0;3.0;"FALSE";-1.0;55.26
104.0;"366-4467";"no";278.4;106.0;81.0;113.0;163.2;137.0;9.8;5.0;1.0;"FALSE";-1.0;64.21
73.0;"370-3450";"no";160.1;110.0;213.3;72.0;174.1;72.0;13.0;4.0;0.0;"FALSE";-1.0;56.68999999999999
99.0;"327-3954";"no";198.2;87.0;207.3;76.0;190.9;113.0;8.7;3.0;4.0;"FALSE";-1.0;62.25
120.0;"355-6291";"no";212.1;131.0;209.4;104.0;167.2;96.0;5.3;5.0;1.0;"TRUE";-1.0;62.81
77.0;"362-9748";"no";251.8;72.0;205.7;126.0;275.2;109.0;9.8;7.0;2.0;"TRUE";-1.0;75.32000000000001
98.0;"379-6506";"no";161.2;114.0;252.2;83.0;160.2;92.0;4.4;8.0;4.0;"FALSE";21.0;57.24
108.0;"347-7741";"no";178.3;137.0;189.0;76.0;129.1;102.0;14.6;5.0;0.0;"FALSE";-1.0;56.129999999999995
135.0;"354-3783";"no";151.7;82.0;119.0;105.0;180.0;100.0;10.5;6.0;0.0;"FALSE";-1.0;46.85
95.0;"401-7594";"no";135.0;99.0;183.6;106.0;245.3;102.0;12.5;9.0;1.0;"FALSE";-1.0;52.980000000000004
122.0;"397-4976";"no";170.5;94.0;173.7;109.0;248.6;75.0;11.3;2.0;1.0;"FALSE";-1.0;57.989999999999995
95.0;"334-2577";"no";238.1;65.0;187.2;98.0;190.0;115.0;11.8;4.0;4.0;"FALSE";-1.0;68.13
36.0;"400-3637";"no";281.4;102.0;202.2;76.0;187.2;113.0;9.0;6.0;2.0;"FALSE";29.0;75.88000000000001
93.0;"383-4361";"no";117.9;131.0;164.5;115.0;217.0;86.0;9.8;3.0;1.0;"FALSE";21.0;46.42999999999999
141.0;"371-4306";"no";148.6;91.0;131.1;97.0;219.4;142.0;10.1;1.0;1.0;"FALSE";32.0;49.0
157.0;"403-4298";"no";229.8;90.0;147.9;121.0;241.4;108.0;9.6;7.0;3.0;"FALSE";-1.0;65.09
120.0;"409-3786";"no";165.0;100.0;317.2;83.0;119.2;86.0;8.3;8.0;1.0;"FALSE";-1.0;62.61000000000001
103.0;"337-4697";"no";185.0;117.0;223.3;94.0;222.8;91.0;12.6;2.0;2.0;"FALSE";-1.0;63.86
98.0;"383-1509";"no";161.0;117.0;190.9;113.0;227.7;113.0;12.1;4.0;4.0;"FALSE";-1.0;57.120000000000005
125.0;"359-9794";"no";126.7;108.0;206.0;90.0;247.8;114.0;13.3;7.0;1.0;"FALSE";-1.0;53.79
63.0;"407-7035";"no";58.9;125.0;169.6;59.0;211.4;88.0;9.4;3.0;1.0;"FALSE";-1.0;36.48
36.0;"363-1069";"yes";196.8;89.0;254.9;122.0;138.3;126.0;20.0;6.0;0.0;"TRUE";42.0;66.75
64.0;"391-4652";"no";162.6;83.0;152.3;109.0;57.5;122.0;14.2;3.0;1.0;"FALSE";-1.0;47.010000000000005
74.0;"355-6837";"no";282.5;114.0;219.9;48.0;170.0;115.0;9.4;4.0;1.0;"TRUE";-1.0;76.91000000000001
112.0;"409-1244";"no";113.7;117.0;157.5;82.0;177.6;118.0;10.0;3.0;2.0;"FALSE";36.0;43.410000000000004
97.0;"328-3266";"no";239.8;125.0;214.8;111.0;143.3;81.0;8.7;5.0;2.0;"FALSE";-1.0;67.83
46.0;"352-7072";"no";210.2;92.0;227.3;77.0;200.1;116.0;13.1;7.0;1.0;"FALSE";-1.0;67.59
41.0;"370-7550";"no";213.8;102.0;141.8;86.0;142.2;123.0;7.2;3.0;0.0;"FALSE";22.0;56.74
121.0;"369-5526";"no";190.7;103.0;183.5;117.0;220.8;103.0;9.8;4.0;3.0;"FALSE";-1.0;60.61
193.0;"329-4391";"no";170.9;124.0;132.3;95.0;112.9;89.0;11.6;3.0;1.0;"FALSE";-1.0;48.51
130.0;"408-4195";"no";154.2;119.0;110.2;98.0;227.4;117.0;9.2;5.0;2.0;"FALSE";-1.0;48.28999999999999
85.0;"354-4445";"no";201.4;52.0;229.4;104.0;252.5;106.0;12.0;3.0;1.0;"FALSE";-1.0;68.34
162.0;"335-4858";"no";70.7;108.0;157.5;87.0;154.8;82.0;9.1;3.0;4.0;"TRUE";-1.0;34.84
61.0;"414-8718";"no";187.5;124.0;146.6;103.0;225.7;129.0;6.4;6.0;4.0;"TRUE";27.0;56.230000000000004
92.0;"409-5939";"no";91.7;90.0;193.7;123.0;175.0;86.0;9.2;4.0;2.0;"FALSE";-1.0;42.41
131.0;"331-4902";"no";214.2;115.0;161.7;117.0;264.7;102.0;9.5;4.0;3.0;"FALSE";36.0;64.63
90.0;"353-6870";"no";145.5;92.0;217.7;114.0;146.9;123.0;10.9;2.0;3.0;"FALSE";-1.0;52.78999999999999
75.0;"355-2909";"no";166.3;125.0;158.2;86.0;256.7;80.0;6.1;5.0;1.0;"FALSE";-1.0;54.92
78.0;"390-6101";"no";231.0;115.0;230.4;140.0;261.4;120.0;9.5;3.0;1.0;"FALSE";-1.0;73.18
82.0;"400-3446";"no";200.3;96.0;201.2;102.0;206.1;60.0;7.1;1.0;4.0;"FALSE";-1.0;62.34
163.0;"411-5859";"no";197.0;109.0;202.6;128.0;206.4;80.0;9.1;10.0;1.0;"FALSE";-1.0;62.46
91.0;"387-2919";"yes";129.9;112.0;173.3;83.0;247.2;130.0;11.2;3.0;3.0;"FALSE";-1.0;50.95
75.0;"374-8525";"no";175.8;97.0;217.5;106.0;237.5;134.0;5.3;4.0;5.0;"FALSE";21.0;60.49999999999999
91.0;"379-5592";"no";203.1;106.0;210.1;113.0;195.6;129.0;12.0;3.0;3.0;"FALSE";-1.0;64.43
127.0;"345-8237";"no";183.2;117.0;126.8;76.0;263.3;71.0;11.2;8.0;1.0;"FALSE";36.0;56.790000000000006
113.0;"422-6690";"no";205.0;101.0;152.0;60.0;158.6;59.0;10.2;5.0;2.0;"FALSE";23.0;57.660000000000004
110.0;"346-2359";"no";148.5;115.0;276.4;84.0;193.6;112.0;12.4;3.0;1.0;"FALSE";-1.0;60.8
120.0;"374-3534";"no";200.3;68.0;220.4;97.0;253.8;116.0;10.5;4.0;0.0;"FALSE";39.0;67.04
157.0;"381-4756";"no";192.6;107.0;195.5;74.0;109.7;139.0;6.8;5.0;3.0;"FALSE";28.0;56.14
103.0;"390-2805";"no";246.5;47.0;195.5;84.0;200.5;96.0;11.7;4.0;1.0;"FALSE";-1.0;70.71
117.0;"390-2390";"yes";167.1;86.0;177.5;87.0;249.4;132.0;14.1;7.0;2.0;"TRUE";-1.0;58.53
140.0;"419-9097";"no";231.9;101.0;160.1;94.0;110.4;98.0;14.3;6.0;3.0;"FALSE";-1.0;61.86
127.0;"386-7281";"no";146.7;91.0;203.5;78.0;203.4;110.0;13.7;3.0;1.0;"FALSE";-1.0;55.09
83.0;"380-3561";"yes";271.5;87.0;216.3;126.0;121.1;105.0;11.7;4.0;1.0;"FALSE";-1.0;73.16
121.0;"390-8760";"no";181.5;121.0;218.4;98.0;161.6;103.0;8.5;5.0;1.0;"FALSE";-1.0;58.989999999999995
145.0;"366-6730";"no";257.7;97.0;162.1;95.0;286.9;86.0;11.1;4.0;2.0;"FALSE";43.0;73.5
113.0;"395-5285";"no";193.8;99.0;221.4;125.0;172.3;67.0;10.6;6.0;1.0;"FALSE";-1.0;62.38
117.0;"354-3436";"no";102.8;119.0;206.7;91.0;299.0;105.0;10.1;7.0;1.0;"FALSE";-1.0;51.239999999999995
65.0;"336-7600";"no";187.9;116.0;157.6;117.0;227.3;86.0;7.5;6.0;1.0;"FALSE";-1.0;57.60000000000001
56.0;"383-6293";"no";226.0;112.0;248.5;118.0;140.5;142.0;6.9;11.0;1.0;"FALSE";-1.0;67.72
96.0;"362-4596";"no";260.4;115.0;146.0;46.0;269.5;87.0;11.5;4.0;5.0;"FALSE";-1.0;71.92
151.0;"401-3926";"no";178.7;116.0;292.1;138.0;265.9;101.0;9.8;4.0;0.0;"FALSE";-1.0;69.83
83.0;"370-9116";"no";337.4;120.0;227.4;116.0;153.9;114.0;15.8;7.0;0.0;"TRUE";-1.0;87.88999999999999
139.0;"328-6289";"no";157.6;129.0;247.0;96.0;259.2;112.0;13.7;2.0;0.0;"FALSE";23.0;63.150000000000006
6.0;"350-9994";"no";183.6;117.0;256.7;72.0;178.6;79.0;10.2;2.0;1.0;"FALSE";-1.0;63.82
115.0;"351-4616";"no";142.1;124.0;183.4;129.0;164.8;114.0;9.6;4.0;1.0;"FALSE";24.0;49.760000000000005
87.0;"360-5779";"no";136.3;97.0;172.2;108.0;137.5;101.0;7.1;5.0;0.0;"FALSE";-1.0;45.92
141.0;"417-4885";"no";217.1;110.0;241.5;111.0;253.5;103.0;12.0;6.0;0.0;"FALSE";-1.0;72.09
141.0;"406-4710";"no";187.5;99.0;241.4;116.0;229.5;105.0;10.5;5.0;3.0;"FALSE";36.0;65.57
62.0;"409-8743";"no";98.9;103.0;135.4;122.0;236.6;82.0;12.2;1.0;1.0;"FALSE";-1.0;42.26
146.0;"335-4584";"no";206.3;151.0;148.6;89.0;167.2;91.0;6.1;3.0;1.0;"FALSE";-1.0;56.870000000000005
92.0;"361-9845";"no";243.1;92.0;213.8;92.0;228.7;104.0;12.1;2.0;2.0;"FALSE";33.0;73.06
185.0;"366-5699";"no";189.8;126.0;163.3;133.0;264.8;126.0;7.5;3.0;1.0;"FALSE";31.0;60.10000000000001
148.0;"329-9364";"no";202.0;102.0;243.2;128.0;261.3;90.0;10.9;3.0;1.0;"FALSE";-1.0;69.71000000000001
94.0;"390-7434";"no";170.1;124.0;193.3;116.0;105.9;73.0;12.8;4.0;1.0;"FALSE";38.0;53.58
32.0;"404-9680";"no";230.9;87.0;187.4;90.0;154.0;53.0;6.3;2.0;0.0;"FALSE";-1.0;63.81
68.0;"338-9398";"no";237.1;105.0;223.5;105.0;97.4;79.0;13.2;2.0;1.0;"FALSE";-1.0;67.25
64.0;"394-2445";"no";182.1;91.0;169.7;98.0;164.7;86.0;10.6;5.0;2.0;"FALSE";27.0;55.650000000000006
25.0;"381-2709";"no";119.3;87.0;211.5;101.0;268.9;86.0;10.5;4.0;3.0;"FALSE";-1.0;53.20000000000001
65.0;"397-5060";"no";116.8;87.0;178.9;93.0;182.4;150.0;14.1;2.0;1.0;"FALSE";-1.0;47.09
179.0;"415-2393";"no";219.2;92.0;149.4;125.0;244.7;104.0;6.1;5.0;0.0;"FALSE";-1.0;62.61999999999999
94.0;"377-1765";"no";252.6;104.0;169.0;125.0;170.9;106.0;11.1;7.0;2.0;"FALSE";-1.0;68.0
62.0;"409-2111";"no";147.1;91.0;190.4;107.0;195.2;115.0;12.2;3.0;0.0;"FALSE";-1.0;53.26
127.0;"401-3170";"no";202.1;103.0;229.4;86.0;195.2;113.0;11.5;3.0;2.0;"FALSE";-1.0;65.75
116.0;"405-5681";"no";173.5;93.0;194.1;76.0;208.0;112.0;16.2;10.0;3.0;"FALSE";-1.0;59.73
70.0;"411-4582";"no";232.1;122.0;292.3;112.0;201.2;112.0;0.0;0.0;3.0;"FALSE";-1.0;73.36
94.0;"355-5009";"yes";197.1;125.0;214.5;136.0;282.2;103.0;9.5;5.0;4.0;"FALSE";23.0;67.00999999999999
126.0;"372-3750";"no";58.2;94.0;138.7;118.0;136.8;91.0;11.9;1.0;5.0;"TRUE";-1.0;31.05
67.0;"405-2888";"no";115.6;111.0;237.7;94.0;169.9;103.0;9.9;12.0;2.0;"FALSE";36.0;50.169999999999995
19.0;"361-3337";"no";186.1;98.0;254.3;57.0;214.0;127.0;14.6;7.0;2.0;"FALSE";-1.0;66.83
170.0;"350-1639";"yes";259.9;68.0;245.0;122.0;134.4;121.0;8.4;3.0;3.0;"FALSE";-1.0;73.32999999999998
73.0;"333-3221";"no";214.3;145.0;268.5;135.0;241.2;92.0;10.8;13.0;1.0;"FALSE";-1.0;73.02
106.0;"422-1471";"no";158.7;74.0;64.3;139.0;198.5;103.0;10.2;4.0;1.0;"FALSE";-1.0;44.13
93.0;"399-7865";"no";271.6;71.0;229.4;108.0;77.3;121.0;10.9;3.0;2.0;"FALSE";-1.0;72.09
164.0;"373-4819";"no";160.6;111.0;163.2;126.0;187.1;112.0;9.0;3.0;1.0;"FALSE";-1.0;52.02
51.0;"338-6981";"no";232.4;109.0;187.4;95.0;231.2;107.0;9.1;3.0;1.0;"FALSE";-1.0;68.3
107.0;"418-4365";"no";133.8;85.0;180.5;94.0;112.2;115.0;8.9;4.0;0.0;"FALSE";-1.0;45.54
130.0;"359-5461";"no";176.9;109.0;90.7;104.0;238.0;69.0;9.5;2.0;1.0;"FALSE";-1.0;51.06
80.0;"375-3586";"no";209.9;74.0;195.1;77.0;208.2;119.0;8.8;4.0;2.0;"FALSE";-1.0;64.01
94.0;"407-8376";"no";137.5;118.0;203.2;88.0;150.0;131.0;13.4;2.0;0.0;"FALSE";-1.0;51.019999999999996
118.0;"408-6496";"no";289.5;52.0;166.6;111.0;119.1;88.0;9.5;4.0;1.0;"FALSE";23.0;71.30999999999999
117.0;"385-7688";"no";198.1;86.0;177.0;86.0;180.5;92.0;6.8;6.0;1.0;"FALSE";23.0;58.690000000000005
78.0;"332-6934";"no";149.7;119.0;182.2;115.0;261.5;126.0;9.7;8.0;0.0;"FALSE";-1.0;55.33
208.0;"378-3625";"no";326.5;67.0;176.3;113.0;181.7;102.0;10.7;6.0;2.0;"TRUE";-1.0;81.57
131.0;"353-7292";"yes";292.9;101.0;199.7;97.0;255.3;127.0;13.8;7.0;4.0;"TRUE";26.0;81.97999999999999
63.0;"399-6786";"no";83.0;64.0;177.0;106.0;245.7;89.0;13.0;3.0;0.0;"FALSE";-1.0;43.730000000000004
53.0;"358-3261";"no";145.7;146.0;220.5;136.0;249.9;96.0;13.1;5.0;3.0;"FALSE";24.0;58.3
62.0;"377-9932";"no";182.3;101.0;328.2;93.0;245.0;131.0;11.2;1.0;2.0;"FALSE";-1.0;72.94
97.0;"397-4030";"no";218.0;86.0;184.0;94.0;240.5;110.0;6.4;8.0;3.0;"FALSE";-1.0;65.25
105.0;"367-1062";"no";140.6;109.0;178.6;51.0;217.0;83.0;6.8;3.0;2.0;"FALSE";-1.0;50.68
157.0;"341-8467";"no";152.7;105.0;257.5;80.0;198.1;93.0;9.4;4.0;1.0;"FALSE";-1.0;59.3
66.0;"339-9453";"no";106.7;76.0;209.8;77.0;190.4;117.0;12.1;2.0;1.0;"FALSE";36.0;47.81
122.0;"344-3388";"no";243.8;98.0;83.9;72.0;179.8;84.0;13.7;8.0;2.0;"FALSE";-1.0;60.370000000000005
38.0;"375-8013";"no";194.4;94.0;186.7;95.0;223.3;90.0;10.8;5.0;3.0;"FALSE";-1.0;61.89
106.0;"408-4142";"no";213.9;95.0;151.9;70.0;260.1;124.0;12.2;5.0;3.0;"FALSE";-1.0;64.25999999999999
99.0;"386-3671";"no";217.2;112.0;246.7;89.0;226.1;89.0;15.8;7.0;3.0;"FALSE";-1.0;72.33
